,date,species,bands,sx,sy,time
619,6/29/2021,GRSP,SO-DG,711519,4330476,2646
503,6/17/2021,GRSP,SO-DG,711521,4330458,2634
25,5/7/2021,GRSP,SO-YK,711522,4330366,2593
507,6/17/2021,GRSP,GR-SK,711525,4330400,2634
201,5/25/2021,GRSP,KD-WS,711525,4330118,2611
394,6/9/2021,GRSP,SO-DG,711525,4330505,2626
395,6/9/2021,GRSP,SO-DG,711528,4330534,2626
402,6/9/2021,GRSP,SO-DG,711529,4330535,2626
497,6/17/2021,GRSP,SO-DG,711531,4330468,2634
508,6/17/2021,GRSP,GR-SK,711533,4330432,2634
615,6/29/2021,GRSP,SO-DG,711534,4330492,2646
56,5/13/2021,GRSP,PP-SK,711545,4330730,2599
124,5/19/2021,GRSP,OS-KG,711547,4329322,2605
618,6/29/2021,GRSP,SO-DG,711547,4330493,2646
500,6/17/2021,GRSP,SO-DG,711549,4330500,2634
22,5/7/2021,GRSP,SO-YK,711549,4330384,2593
204,5/25/2021,GRSP,KD-WS,711550,4330123,2611
196,5/25/2021,GRSP,KD-WS,711558,4330098,2611
131,5/19/2021,GRSP,OS-KG,711561,4329332,2605
299,6/2/2021,GRSP,SR-WB,711565,4330942,2619
290,6/2/2021,GRSP,SR-WB,711572,4330987,2619
733,7/9/2021,GRSP,SR-WB,711572,4330965,2656
68,5/17/2021,GRSP,WO-SB,711575,4331048,2603
367,6/5/2021,GRSP,RO-SR,711580,4329739,2622
76,5/17/2021,GRSP,WO-SB,711585,4331074,2603
746,7/9/2021,GRSP,SR-WB,711591,4330958,2656
111,5/19/2021,GRSP,OS-KG,711592,4329333,2605
878,7/21/2021,GRSP,SR-WB,711593,4330961,2668
869,7/21/2021,GRSP,SR-WB,711594,4330997,2668
291,6/2/2021,GRSP,SR-WB,711597,4331007,2619
734,7/9/2021,GRSP,SR-WB,711598,4331004,2656
69,5/17/2021,GRSP,WO-SB,711598,4331041,2603
855,7/21/2021,GRSP,SR-WB,711601,4330979,2668
130,5/19/2021,GRSP,WO-KS,711605,4329796,2605
368,6/5/2021,GRSP,RO-SR,711611,4329741,2622
756,7/10/2021,GRSP,KR-SW,711612,4329530,2657
650,6/29/2021,GRSP,KK-SG,711614,4329450,2646
413,6/10/2021,GRSP,RS-GO,711615,4329657,2627
58,5/13/2021,GRSP,SR-WB,711617,4331002,2599
639,6/29/2021,GRSP,BS-OO,711619,4329435,2646
727,7/8/2021,GRSP,RS-GO,711621,4329681,2655
861,7/21/2021,GRSP,RS-AO,711624,4329657,2668
307,6/2/2021,GRSP,SR-WB,711625,4330985,2619
122,5/19/2021,GRSP,RS-KP,711629,4329927,2605
892,7/21/2021,GRSP,DP-SG,711635,4329404,2668
624,6/29/2021,GRSP,BS-OO,711636,4329486,2646
125,5/19/2021,GRSP,RS-KP,711641,4329923,2605
411,6/10/2021,GRSP,RS-GO,711643,4329670,2627
651,6/29/2021,GRSP,KK-SG,711644,4329442,2646
143,5/20/2021,GRSP,RO-SR,711648,4329744,2606
134,5/19/2021,GRSP,RS-KP,711648,4329903,2605
888,7/21/2021,GRSP,KD-WS,711654,4330020,2668
834,7/20/2021,GRSP,WB-WS,711655,4329431,2667
585,6/23/2021,GRSP,SY-RP,711656,4328550,2640
115,5/19/2021,GRSP,RS-KP,711657,4329922,2605
593,6/23/2021,GRSP,SY-RP,711658,4328551,2640
891,7/21/2021,GRSP,KD-WS,711661,4330025,2668
841,7/21/2021,GRSP,KK-SG,711664,4329330,2668
355,6/4/2021,GRSP,RS-KO,711665,4329956,2621
893,7/21/2021,GRSP,KD-WS,711667,4329972,2668
430,6/10/2021,GRSP,KR-SW,711668,4329549,2627
128,5/19/2021,GRSP,RS-KP,711668,4329901,2605
648,6/29/2021,GRSP,KK-SG,711669,4329410,2646
325,6/3/2021,GRSP,BS-OO,711671,4329543,2620
423,6/10/2021,GRSP,KR-SW,711672,4329572,2627
330,6/3/2021,GRSP,BS-OO,711674,4329537,2620
352,6/4/2021,GRSP,RS-KO,711674,4329936,2621
644,6/29/2021,GRSP,RS-GO,711675,4329636,2646
632,6/29/2021,GRSP,KD-WS,711676,4330013,2646
432,6/10/2021,GRSP,KR-SW,711676,4329556,2627
331,6/3/2021,GRSP,BS-OO,711679,4329538,2620
636,6/29/2021,GRSP,RS-GO,711680,4329595,2646
973,8/14/2021,GRSP,OW-SG,711681,4329377,2692
972,8/14/2021,GRSP,WB-SA,711681,4329377,2692
328,6/3/2021,GRSP,KR-SW,711684,4329546,2620
755,7/10/2021,GRSP,KR-SW,711685,4329545,2657
633,6/29/2021,GRSP,KD-WS,711689,4330007,2646
339,6/3/2021,GRSP,KR-SW,711689,4329558,2620
329,6/3/2021,GRSP,KR-SW,711691,4329553,2620
754,7/10/2021,GRSP,KR-SW,711691,4329567,2657
737,7/9/2021,GRSP,KD-WS,711693,4330008,2656
345,6/4/2021,GRSP,RS-KO,711693,4329966,2621
867,7/21/2021,GRSP,KR-SW,711694,4329599,2668
375,6/7/2021,GRSP,KK-SG,711695,4329359,2624
552,6/21/2021,GRSP,KD-WS,711703,4329981,2638
218,5/26/2021,GRSP,BS-OO,711711,4329466,2612
216,5/26/2021,GRSP,DR-SG,711711,4329466,2612
215,5/26/2021,GRSP,KK-SG,711711,4329466,2612
664,7/1/2021,GRSP,YS-OG,711711,4329963,2648
634,6/29/2021,GRSP,KD-WS,711713,4330000,2646
114,5/19/2021,GRSP,GS-PD,711714,4329704,2605
548,6/21/2021,GRSP,KD-WS,711722,4329981,2638
662,7/1/2021,GRSP,YS-OG,711729,4329979,2648
324,6/3/2021,GRSP,SD-PD,711731,4329689,2620
842,7/21/2021,GRSP,SD-PD,711731,4329705,2668
499,6/17/2021,GRSP,KD-WS,711734,4329985,2634
117,5/19/2021,GRSP,GS-PD,711736,4329709,2605
807,7/16/2021,GRSP,SY-RP,711736,4329734,2663
327,6/3/2021,GRSP,SD-PD,711739,4329688,2620
863,7/21/2021,GRSP,SD-PD,711739,4329725,2668
884,7/21/2021,GRSP,KR-SW,711743,4329578,2668
743,7/9/2021,GRSP,KD-WS,711746,4329986,2656
498,6/17/2021,GRSP,KD-WS,711748,4329988,2634
335,6/3/2021,GRSP,SD-PD,711750,4329683,2620
537,6/19/2021,GRSP,YS-GD,711754,4329725,2636
679,7/1/2021,GRSP,YS-OG,711762,4329987,2648
889,7/21/2021,GRSP,DP-SG,711768,4329486,2668
541,6/19/2021,GRSP,YS-GD,711774,4329728,2636
656,6/29/2021,GRSP,YS-GB,711775,4329729,2646
826,7/20/2021,GRSP,RK-SG,711777,4329334,2667
133,5/19/2021,GRSP,WO-KS,711782,4329723,2605
649,6/29/2021,GRSP,YS-GB,711782,4329745,2646
530,6/19/2021,GRSP,YS-GD,711783,4329708,2636
886,7/21/2021,GRSP,DP-SG,711785,4329481,2668
629,6/29/2021,GRSP,YS-GB,711787,4329705,2646
136,5/20/2021,GRSP,RS-KP,711792,4329993,2606
894,7/22/2021,GRSP,YS-PO,711794,4329796,2669
560,6/21/2021,GRSP,YS-PO,711796,4329787,2638
90,5/18/2021,GRSP,GS-OY,711802,4329832,2604
300,6/2/2021,GRSP,GY-DS,711803,4330137,2619
564,6/21/2021,GRSP,YS-PO,711805,4329826,2638
763,7/12/2021,GRSP,YS-PP,711806,4329826,2659
881,7/21/2021,GRSP,DP-SG,711807,4329452,2668
769,7/12/2021,GRSP,YS-PP,711811,4329807,2659
558,6/21/2021,GRSP,YS-PO,711813,4329799,2638
764,7/12/2021,GRSP,YS-PP,711824,4329823,2659
426,6/10/2021,GRSP,RK-SG,711826,4329433,2627
898,7/22/2021,GRSP,YS-PO,711826,4329796,2669
301,6/2/2021,GRSP,GY-DS,711835,4330134,2619
428,6/10/2021,GRSP,RK-SG,711838,4329442,2627
238,5/26/2021,GRSP,RK-SG,711850,4329475,2612
868,7/21/2021,GRSP,YS-PO,711852,4329779,2668
293,6/2/2021,GRSP,AW-SG,711853,4329816,2619
308,6/2/2021,GRSP,YS-PP,711853,4329816,2619
900,7/22/2021,GRSP,GY-DS,711855,4330220,2669
895,7/22/2021,GRSP,GR-RS,711863,4329425,2669
829,7/20/2021,GRSP,SR-YY,711877,4329497,2667
882,7/21/2021,GRSP,DW-WS,711898,4329527,2668
412,6/10/2021,GRSP,KB-BS,711898,4329756,2627
865,7/21/2021,GRSP,DW-WS,711900,4329500,2668
616,6/29/2021,GRSP,KB-BS,711900,4329777,2646
628,6/29/2021,GRSP,KB-BS,711901,4329793,2646
887,7/21/2021,GRSP,KB-BS,711902,4329774,2668
830,7/20/2021,GRSP,SK-PY,711906,4329422,2667
246,5/26/2021,GRSP,SK-PY,711908,4329393,2612
762,7/12/2021,GRSP,KB-WS,711911,4329797,2659
306,6/2/2021,GRSP,KB-BS,711913,4329761,2619
422,6/10/2021,GRSP,KB-BS,711915,4329779,2627
866,7/21/2021,GRSP,GR-RS,711917,4329434,2668
857,7/21/2021,GRSP,GR-RS,711920,4329390,2668
631,6/29/2021,GRSP,KB-BS,711925,4329776,2646
726,7/8/2021,GRSP,KB-BS,711927,4329752,2655
71,5/17/2021,GRSP,SY-RP,711936,4329700,2603
67,5/17/2021,GRSP,SY-RP,711947,4329705,2603
296,6/2/2021,GRSP,YS-OG,711947,4329831,2619
73,5/17/2021,GRSP,SY-RP,711949,4329665,2603
79,5/17/2021,GRSP,SY-RP,711949,4329665,2603
48,5/11/2021,GRSP,GG-SP,711950,4330265,2597
62,5/17/2021,GRSP,BP-DS,711951,4330495,2603
46,5/11/2021,GRSP,GG-SP,711951,4330243,2597
64,5/17/2021,GRSP,SY-RP,711952,4329697,2603
70,5/17/2021,GRSP,SY-RP,711959,4329672,2603
623,6/29/2021,GRSP,RW-YS,711965,4329771,2646
49,5/11/2021,GRSP,GG-SP,711969,4330250,2597
303,6/2/2021,GRSP,GG-SO,711973,4330252,2619
292,6/2/2021,GRSP,GG-SO,711976,4330243,2619
295,6/2/2021,GRSP,PB-DS,711985,4330470,2619
297,6/2/2021,GRSP,PB-DS,711986,4330479,2619
126,5/19/2021,GRSP,SB-KY,711987,4329479,2605
897,7/22/2021,GRSP,SB-BP,711991,4329377,2669
890,7/21/2021,GRSP,RW-YS,711992,4329779,2668
620,6/29/2021,GRSP,RW-YS,711996,4329795,2646
854,7/21/2021,GRSP,GR-RS,712002,4329386,2668
626,6/29/2021,GRSP,RW-YS,712010,4329798,2646
877,7/21/2021,GRSP,RW-YS,712014,4329776,2668
416,6/10/2021,GRSP,YS-RG,712014,4329607,2627
129,5/19/2021,GRSP,SB-KY,712019,4329492,2605
231,5/26/2021,GRSP,YY-SW,712023,4329481,2612
414,6/10/2021,GRSP,YS-RG,712038,4329605,2627
421,6/10/2021,GRSP,GR-RS,712045,4329386,2627
191,5/25/2021,GRSP,YG-DS,712046,4330221,2611
419,6/10/2021,GRSP,GR-RS,712053,4329393,2627
212,5/26/2021,GRSP,SB-KY,712054,4329381,2612
224,5/26/2021,GRSP,SB-KY,712058,4329390,2612
429,6/10/2021,GRSP,YS-RG,712058,4329619,2627
243,5/26/2021,GRSP,SB-KY,712066,4329395,2612
833,7/20/2021,GRSP,SB-KY,712066,4329429,2667
179,5/25/2021,GRSP,YG-DS,712069,4330236,2611
213,5/26/2021,GRSP,SO-KP,712072,4329486,2612
545,6/19/2021,GRSP,SB-KY,712073,4329412,2636
531,6/19/2021,GRSP,SB-KY,712079,4329378,2636
539,6/19/2021,GRSP,SB-KY,712079,4329398,2636
51,5/12/2021,GRSP,OS-KG,712080,4330154,2598
227,5/26/2021,GRSP,SB-KY,712080,4329378,2612
104,5/19/2021,GRSP,YG-DS,712089,4330235,2605
535,6/19/2021,GRSP,SB-KY,712093,4329393,2636
302,6/2/2021,GRSP,YD-SR,712093,4329950,2619
180,5/25/2021,GRSP,YG-DS,712093,4330236,2611
112,5/19/2021,GRSP,YG-DS,712096,4330247,2605
250,5/27/2021,GRSP,YG-DS,712100,4330252,2613
113,5/19/2021,GRSP,YG-DS,712102,4330260,2605
105,5/19/2021,GRSP,RS-AG,712130,4329239,2605
109,5/19/2021,GRSP,RS-AG,712133,4329265,2605
443,6/12/2021,GRSP,YD-SR,712137,4329923,2629
445,6/12/2021,GRSP,YD-SR,712146,4329947,2629
43,5/10/2021,GRSP,SG-KD,712150,4330117,2596
110,5/19/2021,GRSP,RS-AG,712152,4329280,2605
192,5/25/2021,GRSP,YY-SR,712154,4330732,2611
181,5/25/2021,GRSP,OS-RR,712155,4330627,2611
444,6/12/2021,GRSP,YD-SR,712155,4329927,2629
75,5/17/2021,GRSP,YY-SP,712158,4330728,2603
169,5/25/2021,GRSP,YY-SR,712161,4330714,2611
399,6/9/2021,GRSP,OS-RR,712168,4330653,2626
406,6/9/2021,GRSP,OS-RR,712169,4330634,2626
249,5/27/2021,GRSP,SB-KY,712172,4329398,2613
168,5/25/2021,GRSP,OS-RR,712175,4330628,2611
436,6/11/2021,GRSP,KS-GP,712176,4330529,2628
405,6/9/2021,GRSP,OS-RR,712176,4330666,2626
52,5/12/2021,GRSP,GG-SP,712182,4330181,2598
50,5/12/2021,GRSP,YG-DS,712182,4330181,2598
247,5/27/2021,GRSP,SB-KY,712185,4329386,2613
197,5/25/2021,GRSP,RK-SY,712190,4331266,2611
259,5/27/2021,GRSP,SB-KY,712195,4329412,2613
194,5/25/2021,GRSP,RK-SY,712197,4331269,2611
502,6/17/2021,GRSP,OK-GP,712198,4330541,2634
172,5/25/2021,GRSP,RK-SY,712216,4331291,2611
501,6/17/2021,GRSP,OK-GP,712232,4330445,2634
761,7/12/2021,GRSP,GS-RA,712233,4330104,2659
646,6/29/2021,GRSP,RS-GR,712238,4329843,2646
81,5/17/2021,GRSP,KD-OS,712239,4329197,2603
970,7/31/2021,GRSP,BK-AS,712251,4329886,2678
971,7/31/2021,GRSP,RS-GR,712251,4329886,2678
766,7/12/2021,GRSP,GS-RA,712254,4330105,2659
47,5/11/2021,GRSP,RO-SP,712254,4330159,2597
670,7/1/2021,GRSP,RS-GR,712254,4329863,2648
666,7/1/2021,GRSP,GS-RA,712256,4330103,2648
641,6/29/2021,GRSP,RS-GR,712257,4329867,2646
647,6/29/2021,GRSP,RS-GR,712258,4329885,2646
768,7/12/2021,GRSP,GS-RA,712259,4330114,2659
107,5/19/2021,GRSP,YS-OP,712260,4329436,2605
53,5/12/2021,GRSP,SK-OO,712266,4330116,2598
108,5/19/2021,GRSP,YS-OP,712269,4329438,2605
556,6/21/2021,GRSP,GS-OA,712271,4330107,2638
678,7/1/2021,GRSP,GS-RA,712271,4330108,2648
559,6/21/2021,GRSP,GS-OA,712278,4330110,2638
525,6/19/2021,GRSP,RS-GR,712306,4329910,2636
74,5/17/2021,GRSP,GW-SP,712314,4329153,2603
526,6/19/2021,GRSP,RS-GR,712321,4329832,2636
625,6/29/2021,GRSP,SO-GB,712322,4330755,2646
211,5/26/2021,GRSP,RS-GR,712323,4329869,2612
116,5/19/2021,GRSP,GW-SP,712329,4329276,2605
524,6/19/2021,GRSP,RS-GR,712333,4329841,2636
222,5/26/2021,GRSP,RS-GR,712334,4329873,2612
638,6/29/2021,GRSP,SO-GB,712337,4330771,2646
637,6/29/2021,GRSP,SO-GB,712341,4330749,2646
10,5/6/2021,GRSP,OK-SB,712345,4330078,2592
282,6/1/2021,GRSP,SO-GB,712355,4330789,2618
844,7/21/2021,GRSP,RS-GR,712356,4329853,2668
223,5/26/2021,GRSP,RS-GR,712363,4329844,2612
840,7/21/2021,GRSP,RS-GR,712365,4329880,2668
127,5/19/2021,GRSP,GW-SP,712368,4329270,2605
534,6/19/2021,GRSP,GS-RA,712371,4329642,2636
847,7/21/2021,GRSP,RS-GR,712373,4329857,2668
540,6/19/2021,GRSP,GS-RA,712382,4329626,2636
119,5/19/2021,GRSP,GW-SP,712382,4329254,2605
716,7/7/2021,GRSP,KS-PY,712382,4331442,2654
542,6/19/2021,GRSP,GS-RA,712388,4329622,2636
141,5/20/2021,GRSP,SA-WR,712406,4329576,2606
11,5/6/2021,GRSP,RO-SP,712413,4330130,2592
252,5/27/2021,GRSP,GW-SP,712421,4329205,2613
838,7/21/2021,GRSP,RS-GR,712423,4329899,2668
9,5/5/2021,GRSP,DG-SD,712428,4330030,2591
333,6/3/2021,GRSP,GS-RA,712434,4329643,2620
77,5/17/2021,GRSP,RS-AG,712434,4329181,2603
659,7/1/2021,GRSP,SR-BO,712435,4329914,2648
334,6/3/2021,GRSP,GS-RA,712453,4329643,2620
262,5/27/2021,GRSP,GW-SP,712460,4329164,2613
338,6/3/2021,GRSP,GS-RA,712461,4329621,2620
137,5/20/2021,GRSP,GS-RA,712464,4329669,2606
210,5/26/2021,GRSP,RO-SP,712464,4329995,2612
257,5/27/2021,GRSP,GW-SP,712467,4329180,2613
206,5/26/2021,GRSP,RO-SP,712471,4329979,2612
874,7/21/2021,GRSP,SR-WG,712472,4330697,2668
261,5/27/2021,GRSP,GW-SP,712473,4329200,2613
260,5/27/2021,GRSP,GW-SP,712477,4329215,2613
232,5/26/2021,GRSP,GS-RA,712482,4329567,2612
13,5/6/2021,GRSP,SW-YO,712483,4330187,2592
219,5/26/2021,GRSP,GS-RA,712486,4329587,2612
321,6/3/2021,GRSP,GS-RA,712489,4329596,2620
217,5/26/2021,GRSP,RO-SP,712489,4329969,2612
248,5/27/2021,GRSP,OK-SB,712491,4330102,2613
135,5/20/2021,GRSP,YY-PS,712491,4329596,2606
872,7/21/2021,GRSP,SR-WG,712493,4330699,2668
230,5/26/2021,GRSP,SW-YO,712496,4330000,2612
12,5/6/2021,GRSP,KO-PS,712498,4330117,2592
506,6/17/2021,GRSP,WO-GS,712502,4330518,2634
747,7/9/2021,GRSP,SB-GO,712504,4330724,2656
924,7/23/2021,GRSP,OS-RK,712507,4331484,2670
263,5/27/2021,GRSP,DK-OS,712509,4329322,2613
862,7/21/2021,GRSP,OS-RK,712509,4331466,2668
614,6/29/2021,GRSP,SR-WG,712509,4330650,2646
879,7/21/2021,GRSP,WO-GS,712509,4330615,2668
256,5/27/2021,GRSP,DK-OS,712510,4329312,2613
253,5/27/2021,GRSP,OK-SB,712511,4330105,2613
431,6/10/2021,GRSP,SO-OY,712511,4329860,2627
713,7/6/2021,GRSP,KD-RS,712512,4329382,2653
594,6/25/2021,GRSP,OS-RK,712512,4331469,2642
205,5/26/2021,GRSP,SW-YO,712512,4329991,2612
283,6/1/2021,GRSP,AS-AW,712515,4330542,2618
433,6/10/2021,GRSP,SO-OY,712516,4329872,2627
255,5/27/2021,GRSP,DK-OS,712519,4329341,2613
627,6/29/2021,GRSP,OS-RK,712519,4331445,2646
208,5/26/2021,GRSP,SW-YO,712519,4330024,2612
